"","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.DATE","high.end"
"14479",1,"UPPER WEST SIDE (59-79)","02 TWO FAMILY DWELLINGS","1",1182,119,NA,"B3","331 WEST 70TH STREET","",10023,2,0,2,"1,506","3,264",1910,1,"B3","04/10/2019","0"
"14482",1,"UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2",1127,58,NA,"C5","52 WEST 75TH STREET","",10023,11,0,11,"2,043","7,320",1910,2,"C5","10/12/2018","1"
"14483",1,"UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2",1140,29,NA,"C7","101 WEST 68TH STREET","",10023,12,2,14,"1,634","7,762",1900,2,"C7","04/05/2019","0"
"14484",1,"UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2",1146,31,NA,"C7","304 COLUMBUS AVENUE","",10023,14,2,16,"2,550","12,258",1910,2,"C7","10/24/2018","1"
"14485",1,"UPPER WEST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2",1148,62,NA,"C7","353 AMSTERDAM AVENUE","",10024,13,1,14,"2,500","11,282",1900,2,"C7","12/31/2018","0"
"14486",1,"UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2",1146,61,NA,"D7","166 WEST 75TH STREET","",10023,180,1,181,"6,183","81,339",1922,2,"D7","08/12/2019","1"
"14487",1,"UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2",1162,5,NA,"D1","267 WEST 70TH STREET","",10023,30,0,30,"5,648","25,266",1930,2,"D1","05/31/2019","0"
"14488",1,"UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2",1162,5,NA,"D1","267 WEST 70TH STREET","",10023,30,0,30,"5,648","25,266",1930,2,"D1","02/20/2019","0"
"14489",1,"UPPER WEST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2",1169,29,NA,"D6","360 AMSTERDAM AVENUE","",10024,127,7,134,"10,216","131,476",1929,2,"D6","12/20/2018","0"
"14490",1,"UPPER WEST SIDE (59-79)","09 COOPS - WALKUP APARTMENTS","2",1121,8,NA,"C6","61 WEST 68TH STREET, 9","",10023,0,0,0,"0","0",1910,2,"C6","08/15/2019","0"
"14492",1,"UPPER WEST SIDE (59-79)","09 COOPS - WALKUP APARTMENTS","2",1121,8,NA,"C6","61 WEST 68TH STREET, 11","",10023,0,0,0,"0","0",1910,2,"C6","08/15/2019","0"
"14493",1,"UPPER WEST SIDE (59-79)","09 COOPS - WALKUP APARTMENTS","2",1145,105,NA,"C6","171 W. 73RD STREET, 7","",10023,0,0,0,"0","0",1910,2,"C6","05/03/2019","0"
"14494",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1114,61,NA,"D4","44 WEST 62ND STREET, 14AB","",10023,0,0,0,"0","0",1974,2,"D4","09/25/2019","1"
"14495",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1114,61,NA,"D4","44 WEST 62ND STREET, 7F","",10023,0,0,0,"0","0",1974,2,"D4","05/30/2019","0"
"14496",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1114,61,NA,"D4","44 WEST 62ND STREET, 23A","",10023,0,0,0,"0","0",1974,2,"D4","02/28/2019","0"
"14498",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,16,NA,"D4","29 WEST 64TH STREET, 6B","",10023,0,0,0,"0","0",1938,2,"D4","02/04/2019","0"
"14500",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,19,NA,"D4","25 WEST 64TH STREET, 7E","",10023,0,0,0,"0","0",1923,2,"D4","08/01/2019","0"
"14501",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,19,NA,"D4","25 WEST 64TH STREET, 4E","",10023,0,0,0,"0","0",1923,2,"D4","01/04/2019","0"
"14502",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,19,NA,"D4","25 WEST 64TH STREET, 8E","",10023,0,0,0,"0","0",1923,2,"D4","11/27/2018","0"
"14503",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,21,NA,"D4","17 WEST 64TH STREET, 2F","",10023,0,0,0,"0","0",1924,2,"D4","03/14/2019","0"
"14504",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,21,NA,"D4","17 WEST 64TH STREET, 8B","",10023,0,0,0,"0","0",1924,2,"D4","01/17/2019","0"
"14505",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,21,NA,"D4","17 WEST 64TH STREET, 3D","",10023,0,0,0,"0","0",1924,2,"D4","01/10/2019","0"
"14506",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,29,NA,"D4","41 CENTRAL PARK WEST, 9EF","",10023,0,0,0,"0","0",1910,2,"D4","03/06/2019","1"
"14507",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,29,NA,"D4","41 CENTRAL PARK WEST, 9D","",10023,0,0,0,"0","0",1910,2,"D4","03/06/2019","0"
"14508",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,29,NA,"D4","41 CENTRAL PARK WEST, 10C","",10023,0,0,0,"0","0",1910,2,"D4","02/07/2019","1"
"14509",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,29,NA,"D4","1 WEST 64TH STREET, 1J","",10023,0,0,0,"0","0",1910,2,"D4","12/13/2018","0"
"14510",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1117,29,NA,"D4","1 WEST 64TH STREET, 8B","",10023,0,0,0,"0","0",1910,2,"D4","10/01/2018","0"
"14512",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1118,22,NA,"D4","10 WEST 66TH STREET, 18D","",10023,0,0,0,"0","0",1969,2,"D4","07/08/2019","0"
"14513",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1118,22,NA,"D4","10 WEST 66TH STREET, 25C","",10023,0,0,0,"0","0",1969,2,"D4","06/21/2019","0"
"14515",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1118,22,NA,"D4","10 WEST 66TH STREET, 12J","",10023,0,0,0,"0","0",1969,2,"D4","03/13/2019","0"
"14517",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1118,22,NA,"D4","10 WEST 66 STREET, 17D","",10023,0,0,0,"0","0",1969,2,"D4","11/07/2018","0"
"14519",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1118,36,NA,"D4","55 CENTRAL PARK WEST, 8D","",10023,0,0,0,"0","0",1930,2,"D4","03/15/2019","1"
"14520",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1119,29,NA,"D4","65 CENTRAL PARK WEST, 4D","",10023,0,0,0,"0","0",1929,2,"D4","05/28/2019","1"
"14521",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1119,29,NA,"D4","65 CENTRAL PARK WEST, 7A","",10023,0,0,0,"0","0",1929,2,"D4","01/23/2019","1"
"14522",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1119,36,NA,"D4","2 WEST 67TH STREET, 2F3F","",10023,0,0,0,"0","0",1918,2,"D4","09/16/2019","0"
"14523",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1119,36,NA,"D4","2 WEST 67TH ST, 14AB","",10023,0,0,0,"0","0",1918,2,"D4","08/28/2019","0"
"14524",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1119,36,NA,"D4","2 WEST 67TH STREET, 4A/5A","",10023,0,0,0,"0","0",1918,2,"D4","06/17/2019","1"
"14525",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1119,47,NA,"D4","40 WEST 67TH STREET, 10A","",10023,0,0,0,"0","0",1930,2,"D4","03/29/2019","0"
"14526",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1119,50,NA,"D4","50 WEST 67TH STREET, 4F","",10023,0,0,0,"0","0",1917,2,"D4","07/10/2019","0"
"14527",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1119,50,NA,"D4","50 W 67TH ST, 7F","",10023,0,0,0,"0","0",1917,2,"D4","12/07/2018","0"
"14528",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,11,NA,"D4","33 WEST 67 STREET, 1FE","",10023,0,0,0,"0","0",1905,2,"D4","11/15/2018","0"
"14529",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,14,NA,"D4","27 WEST 67TH STREET, 3FE","",10023,0,0,0,"0","0",1902,2,"D4","02/04/2019","1"
"14530",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,14,NA,"D4","27 WEST 67TH STREET, 1FE","",10023,0,0,0,"0","0",1902,2,"D4","10/19/2018","0"
"14531",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,14,NA,"D4","27 WEST 67TH STREET, 5FW","",10023,0,0,0,"0","0",1902,2,"D4","10/04/2018","1"
"14532",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,17,NA,"D4","17 WEST 67TH STREET, 3C","",10023,0,0,0,"0","0",1930,2,"D4","07/23/2019","0"
"14533",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,17,NA,"D4","17 WEST 67TH ST, PHA","",10023,0,0,0,"0","0",1930,2,"D4","06/26/2019","1"
"14535",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,22,NA,"D4","15 WEST 67TH STREET, 6RE","",10023,0,0,0,"0","0",1905,2,"D4","10/16/2018","0"
"14536",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,23,NA,"D4","1 WEST 67 STREET, 2W","",10023,0,0,0,"0","0",1917,2,"D4","06/20/2019","0"
"14537",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,23,NA,"D4","1 WEST 67 STREET, 209","",10023,0,0,0,"0","0",1917,2,"D4","05/14/2019","0"
"14538",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,23,NA,"D4","1 WEST 67TH STREET, 716","",10023,0,0,0,"0","0",1917,2,"D4","12/05/2018","0"
"14539",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,29,NA,"D4","75 CENTRAL PARK WEST, 4C","",10023,0,0,0,"0","0",1929,2,"D4","05/15/2019","1"
"14540",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,29,NA,"D4","75 CENTRAL PARK WEST, 11A","",10023,0,0,0,"0","0",1929,2,"D4","05/07/2019","0"
"14541",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,29,NA,"D4","75 CENTRAL PARK WEST, 4A","",10023,0,0,0,"0","0",1929,2,"D4","01/22/2019","0"
"14543",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,57,NA,"D4","60 WEST 68TH STREET, 7C","",10023,0,0,0,"0","0",1920,2,"D4","12/10/2018","0"
"14544",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,61,NA,"D4","74 WEST 68TH STREET, 7F","",10023,0,0,0,"0","0",1924,2,"D4","09/16/2019","0"
"14545",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1120,61,NA,"D4","74 WEST 68TH STREET, 10E","",10023,0,0,0,"0","0",1924,2,"D4","11/16/2018","0"
"14546",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1121,29,NA,"D4","80 CENTRAL PARK WEST, 2F","",10023,0,0,0,"0","0",1968,2,"D4","08/29/2019","0"
"14547",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1121,29,NA,"D4","80 CENTRAL PARK WEST, 21H","",10023,0,0,0,"0","0",1968,2,"D4","06/17/2019","0"
"14550",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1121,36,NA,"D4","88 CENTRAL PARK WEST, 1S","",10023,0,0,0,"0","0",1910,2,"D4","08/07/2019","0"
"14551",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1121,36,NA,"D4","88 CENTRAL PARK WEST, 8S","",10023,0,0,0,"0","0",1910,2,"D4","08/07/2019","0"
"14552",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1121,43,NA,"D4","24 WEST 69TH STREET, 3B","",10023,0,0,0,"0","0",1922,2,"D4","09/05/2019","0"
"14554",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1122,23,NA,"D4","11 WEST 69TH STREET, 7-A","",10023,0,0,0,"0","0",1928,2,"D4","06/18/2019","0"
"14555",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1122,23,NA,"D4","11 WEST 69TH STREET, 2A","",10023,0,0,0,"0","0",1928,2,"D4","03/14/2019","0"
"14556",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1122,29,NA,"D4","91 CENTRAL PARK WEST, 2F","",10023,0,0,0,"0","0",1929,2,"D4","08/12/2019","0"
"14557",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1122,29,NA,"D4","91 CENTRAL PARK WEST, 10B","",10023,0,0,0,"0","0",1929,2,"D4","06/07/2019","1"
"14558",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1122,29,NA,"D4","91 CENTRAL PARK WEST, 13E","",10023,0,0,0,"0","0",1929,2,"D4","05/30/2019","1"
"14559",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1122,29,NA,"D4","91 CENTRAL PARK WEST, 9D","",10023,0,0,0,"0","0",1929,2,"D4","01/30/2019","1"
"14560",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1122,40,NA,"D4","18 WEST 70TH STREET, 7A","",10023,0,0,0,"0","0",1926,2,"D4","06/20/2019","0"
"14563",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1123,29,NA,"D4","101 CENTRAL PARK WEST, 14A","",10023,0,0,0,"0","0",1930,2,"D4","03/26/2019","1"
"14564",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,5,NA,"D4","59 WEST 71ST STREET, 10A","",10023,0,0,0,"0","0",1924,2,"D4","09/18/2019","0"
"14567",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,5,NA,"D4","59 WEST 71 STREET, 5D","",10023,0,0,0,"0","0",1924,2,"D4","11/05/2018","0"
"14568",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,21,NA,"D4","17 WEST 71ST STREET, 3C","",10023,0,0,0,"0","0",1923,2,"D4","11/14/2018","0"
"14569",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 23F","",10023,0,0,0,"0","0",1931,2,"D4","08/21/2019","1"
"14570",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 18H","",10023,0,0,0,"0","0",1931,2,"D4","07/24/2019","1"
"14571",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 30EF","",10023,0,0,0,"0","0",1931,2,"D4","07/22/2019","1"
"14572",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 17-L","",10023,0,0,0,"0","0",1931,2,"D4","07/15/2019","0"
"14573",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 9K","",10023,0,0,0,"0","0",1931,2,"D4","06/27/2019","1"
"14574",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 10A","",10023,0,0,0,"0","0",1931,2,"D4","06/12/2019","1"
"14575",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 15J","",10023,0,0,0,"0","0",1931,2,"D4","03/04/2019","0"
"14576",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 15J","",10023,0,0,0,"0","0",1931,2,"D4","03/04/2019","0"
"14577",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 15J","",10023,0,0,0,"0","0",1931,2,"D4","03/04/2019","0"
"14578",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 2D","",10023,0,0,0,"0","0",1931,2,"D4","02/04/2019","0"
"14579",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 11D","",10023,0,0,0,"0","0",1931,2,"D4","12/11/2018","1"
"14580",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,27,NA,"D4","115 CENTRAL PARK WEST, 11J","",10023,0,0,0,"0","0",1931,2,"D4","11/07/2018","1"
"14582",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,42,NA,"D4","12 WEST 72ND STREET, 6C","",10023,0,0,0,"0","0",1927,2,"D4","08/27/2019","0"
"14583",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,42,NA,"D4","12 WEST 72ND STREET, 14DE","",10023,0,0,0,"0","0",1927,2,"D4","06/14/2019","1"
"14584",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,42,NA,"D4","12 WEST 72ND STREET, 27B","",10023,0,0,0,"0","0",1927,2,"D4","05/16/2019","1"
"14585",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,42,NA,"D4","12 WEST 72ND STREET, 21E","",10023,0,0,0,"0","0",1927,2,"D4","01/08/2019","0"
"14588",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,46,NA,"D4","20 WEST 72ND STREET, 606","",10023,0,0,0,"0","0",1925,2,"D4","03/22/2019","0"
"14589",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1124,46,NA,"D4","20 WEST 72ND STREET, 906B","",10023,0,0,0,"0","0",1925,2,"D4","10/24/2018","0"
"14593",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,2,NA,"D4","49 WEST 72ND STREET, 9B","",10023,0,0,0,"0","0",1930,2,"D4","01/11/2019","0"
"14594",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,2,NA,"D4","49 WEST 72ND STREET, 17E","",10023,0,0,0,"0","0",1930,2,"D4","12/27/2018","0"
"14595",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,2,NA,"D4","49 WEST 72ND STREET, 11C","",10023,0,0,0,"0","0",1930,2,"D4","12/05/2018","0"
"14596",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 5B","",10023,0,0,0,"0","0",1964,2,"D4","08/01/2019","0"
"14597",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 35A","",10023,0,0,0,"0","0",1964,2,"D4","07/30/2019","0"
"14598",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 1R","",10023,0,0,0,"0","0",1964,2,"D4","06/26/2019","0"
"14599",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 21R","",10023,0,0,0,"0","0",1964,2,"D4","05/13/2019","1"
"14600",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 27F","",10023,0,0,0,"0","0",1964,2,"D4","05/03/2019","1"
"14603",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 6B","",10023,0,0,0,"0","0",1964,2,"D4","04/11/2019","0"
"14604",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 16J","",10023,0,0,0,"0","0",1964,2,"D4","03/28/2019","0"
"14605",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 4P","",10023,0,0,0,"0","0",1964,2,"D4","03/13/2019","0"
"14606",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 9D","",10023,0,0,0,"0","0",1964,2,"D4","01/31/2019","1"
"14607",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 23K","",10023,0,0,0,"0","0",1964,2,"D4","01/07/2019","1"
"14608",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 23H","",10023,0,0,0,"0","0",1964,2,"D4","12/13/2018","0"
"14610",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 2E","",10023,0,0,0,"0","0",1964,2,"D4","11/26/2018","0"
"14611",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 1C","",10023,0,0,0,"0","0",1964,2,"D4","10/19/2018","0"
"14612",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,24,NA,"D4","15 WEST 72ND STREET, 20N","",10023,0,0,0,"0","0",1964,2,"D4","10/11/2018","1"
"14613",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,25,NA,"D4","1 WEST 72ND STREET, 15","",10023,0,0,0,"0","0",1900,2,"D4","08/22/2019","1"
"14614",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,25,NA,"D4","1 WEST 72ND STREET, 52","",10023,0,0,0,"0","0",1900,2,"D4","06/26/2019","1"
"14615",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1125,25,NA,"D4","1 WEST 72ND STREET, STG A","",10023,0,0,0,"0","0",1900,2,"D4","05/01/2019","0"
"14617",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1126,14,NA,"D4","23 WEST 73RD, 1203","",10023,0,0,0,"0","0",1926,2,"D4","06/20/2019","1"
"14618",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1126,14,NA,"D4","23 WEST 73RD STREET, 307","",10023,0,0,0,"0","0",1926,2,"D4","04/22/2019","0"
"14619",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1126,14,NA,"D4","23 WEST 73RD STREET, 1001","",10023,0,0,0,"0","0",1926,2,"D4","03/04/2019","1"
"14620",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1126,14,NA,"D4","23 WEST 73RD STREET, 1211","",10023,0,0,0,"0","0",1926,2,"D4","12/20/2018","0"
"14621",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1126,14,NA,"D4","23 WEST 73RD STREET, 414","",10023,0,0,0,"0","0",1926,2,"D4","11/14/2018","0"
"14622",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1126,42,NA,"D4","16 WEST 74TH STREET, 6","",10023,0,0,0,"0","0",1900,2,"D4","08/27/2019","0"
"14623",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1126,42,NA,"D4","16 WEST 74TH STREET, 5","",10023,0,0,0,"0","0",1900,2,"D4","06/24/2019","0"
"14624",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1127,29,NA,"D4","145 CENTRAL PARK WEST, 3C","",10023,0,0,0,"0","0",1930,2,"D4","06/24/2019","1"
"14626",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1129,39,NA,"D4","6-16 WEST 77TH STREET, PHB","",10024,0,0,0,"0","0",1928,2,"D4","11/01/2018","1"
"14627",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1129,39,NA,"D4","6-16 WEST 77TH STREET, PHB","",10024,0,0,0,"0","0",1928,2,"D4","11/01/2018","1"
"14629",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1129,39,NA,"D4","6-16 WEST 77TH STREET, PHC","",10024,0,0,0,"0","0",1928,2,"D4","11/01/2018","1"
"14630",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1129,39,NA,"D4","6-16 WEST 77TH STREET, PHA","",10024,0,0,0,"0","0",1928,2,"D4","11/01/2018","1"
"14631",1,"UPPER WEST SIDE (59-79)","10 COOPS - ELEVATOR APARTMENTS","2",1129,39,NA,"D4","6-16 WEST 77TH STREET, PHA","",10024,0,0,0,"0","0",1928,2,"D4","11/01/2018","1"
